,name,price,description,trassmition,model,milage,fuel
0,Seat Leon,"26,118 ",Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,"52,080 km",Hybrid
1,Volvo V60,"27,777 ",T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,"107,217 km",Hybrid
2,Volkswagen Tiguan,"20,392 ","2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,"123,000 km",Diesel
3,Volkswagen Tiguan,"30,967 ",2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,"68,100 km",Diesel
4,Volkswagen Tiguan,"22,892 ",Join Start-stopp 2hand Ahk Garantie,Manual,2018,"105,958 km",Diesel
5,Volkswagen Tiguan,"26,760 ",2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,"127,000 km",Diesel
6,Volkswagen Tiguan,"36,139 ","R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,"50,000 km",Petrol
7,Volkswagen T-roc,"38,297 ",R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,"6,123 km",Petrol
8,Volkswagen T-roc,"18,583 ",Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,"139,000 km",Diesel
9,Volkswagen T-roc,"21,206 ",Sport/r-line,Manual,2019,"79,850 km",Petrol
10,Volkswagen T-roc,"23,631 ",Style,Automatic,2020,"68,100 km",Petrol
11,Volkswagen Polo,"14,942 ",1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,"15,975 km",Petrol
12,Volkswagen Polo,"22,751 ",Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,"68,000 km",Petrol
13,Volkswagen Polo,"24,137 ","Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20 km,Petrol
14,Volkswagen Polo,"19,120 ","1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,"17,300 km",Petrol
15,Toyota Yaris,"11,745 ",1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,"96,854 km",Petrol
16,Renault Clio,"19,034 ",V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,"52,000 km",Petrol
17,Porsche Macan,"104,287 ","Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380 km,Petrol
18,Porsche Macan,"95,137 ","S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,"14,300 km",Petrol
19,Peugeot 3008,"22,354 ",Gt 1.6 Puretech 180 Eat8,Automatic,2021,"61,502 km",Petrol
20,Peugeot 5008,"34,797 ",Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,"8,231 km",Petrol
21,Peugeot 3008,"28,812 ",Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,"13,332 km",Hybrid
22,Peugeot 508,"31,312 ",Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,"17,500 km",Petrol
23,Peugeot 508,"30,839 ",Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,"21,747 km",Petrol
24,Peugeot 3008,"27,239 ",Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,"24,800 km",Petrol
